GeneMANIA Results
Plugin Version	3.3.4 (20140731-1725)
Data Version	2014-08-12
Report Generated	Sun Dec 07 12:49:35 EST 2014

Gene	Score	Description
TOPBP1	GO:0008022	GO:0009314	GO:0010212	GO:0016604	GO:0016605
TP53AIP1
TP53BP1	GO:0000724	GO:0000725	GO:0000781	GO:0001085	GO:0001102	GO:0002039	GO:0006302	GO:0006310	GO:0033613	GO:0051091
TP53I3
TP63	GO:0000075	GO:0000077	GO:0000082	GO:0000228	GO:0000785	GO:0000790	GO:0001503	GO:0002039	GO:0003682	GO:0003684	GO:0003690	GO:0005667	GO:0006978	GO:0007093	GO:0007219	GO:0007346	GO:0008630	GO:0009314	GO:0009411	GO:0009416	GO:0010165	GO:0010212	GO:0010332	GO:0010942	GO:0010948	GO:0030278	GO:0030330	GO:0031570	GO:0031571	GO:0034644	GO:0042770	GO:0042771	GO:0042772	GO:0043065	GO:0043068	GO:0043523	GO:0043565	GO:0043566	GO:0044454	GO:0044773	GO:0044774	GO:0044783	GO:0044819	GO:0051259	GO:0051402	GO:0070997	GO:0071214	GO:0071478	GO:0071482	GO:0072331	GO:0072332	GO:0097193	GO:0097285	GO:1901214	GO:1901987	GO:1901988	GO:1901990	GO:1901991	GO:2000045	GO:2000134
TP73	GO:0000075	GO:0000077	GO:0000082	GO:0000785	GO:0000975	GO:0001067	GO:0001933	GO:0002039	GO:0003682	GO:0003684	GO:0003690	GO:0005667	GO:0006298	GO:0006469	GO:0006978	GO:0007093	GO:0007254	GO:0007346	GO:0008630	GO:0009314	GO:0009411	GO:0009416	GO:0010165	GO:0010212	GO:0010332	GO:0010563	GO:0010948	GO:0019901	GO:0030330	GO:0031098	GO:0031570	GO:0031571	GO:0032872	GO:0033673	GO:0034644	GO:0042326	GO:0042770	GO:0042771	GO:0042772	GO:0043405	GO:0043523	GO:0043524	GO:0043566	GO:0044212	GO:0044773	GO:0044774	GO:0044783	GO:0044819	GO:0045936	GO:0046328	GO:0051348	GO:0051402	GO:0051403	GO:0070302	GO:0070997	GO:0071214	GO:0071478	GO:0071482	GO:0071900	GO:0071901	GO:0072331	GO:0072332	GO:0080135	GO:0097193	GO:0097285	GO:1901214	GO:1901215	GO:1901987	GO:1901988	GO:1901990	GO:1901991	GO:1902532	GO:2000045	GO:2000134
TREX1	GO:0000738	GO:0001819	GO:0003697	GO:0004518	GO:0004527	GO:0004536	GO:0005635	GO:0006260	GO:0006298	GO:0006308	GO:0006310	GO:0008408	GO:0032404	GO:0032479	GO:0032481	GO:0032606	GO:0043566	GO:0090305
TSC2	GO:0001933	GO:0002768	GO:0006469	GO:0006606	GO:0006913	GO:0007050	GO:0007173	GO:0008047	GO:0008286	GO:0008543	GO:0009792	GO:0010563	GO:0014065	GO:0014066	GO:0017038	GO:0019902	GO:0032868	GO:0032869	GO:0033673	GO:0034504	GO:0038093	GO:0038095	GO:0038127	GO:0038179	GO:0042326	GO:0043009	GO:0043434	GO:0043491	GO:0044344	GO:0044445	GO:0044744	GO:0045786	GO:0045936	GO:0048009	GO:0048011	GO:0048015	GO:0048017	GO:0051169	GO:0051170	GO:0051348	GO:0051896	GO:0071375	GO:0071774	GO:1901652	GO:1901653	GO:1902532	GO:1902593
UBE2D3	GO:0000209	GO:0001666	GO:0001818	GO:0002218	GO:0002221	GO:0002224	GO:0002756	GO:0002758	GO:0004842	GO:0006352	GO:0006367	GO:0007178	GO:0007179	GO:0010498	GO:0016879	GO:0016881	GO:0019787	GO:0030509	GO:0031349	GO:0032479	GO:0032606	GO:0034138	GO:0034142	GO:0035666	GO:0036293	GO:0036294	GO:0043161	GO:0043618	GO:0043620	GO:0045088	GO:0045089	GO:0051241	GO:0061418	GO:0070482	GO:0070936	GO:0070979	GO:0071453	GO:0071456	GO:0071559	GO:0071560
UBE2D4	GO:0000209	GO:0004842	GO:0016879	GO:0016881	GO:0019787	GO:0070936	GO:0070979
UBE2I	GO:0000228	GO:0000793	GO:0000794	GO:0004842	GO:0016604	GO:0016605	GO:0016879	GO:0016881	GO:0019787	GO:0044454
UBE2L3	GO:0000209	GO:0003713	GO:0004842	GO:0014070	GO:0016879	GO:0016881	GO:0019787	GO:0031625	GO:0033993	GO:0044389	GO:0048545	GO:0070979
UNG
USP7	GO:0002039	GO:0006283	GO:0006289	GO:0008022	GO:0031625	GO:0032088	GO:0044389
WEE1	GO:0000082	GO:0000086	GO:0044839
XBP1	GO:0034976	GO:0080135
XRCC2	GO:0000280	GO:0007126	GO:0048285	GO:0048610	GO:0051321
XRCC3
XRCC4	GO:0000726	GO:0006266	GO:0006302	GO:0006303	GO:0008022	GO:0009314	GO:0010165	GO:0010212	GO:0019042	GO:0019043	GO:0051340	GO:0051351
XRCC5	GO:0000228	GO:0000723	GO:0000726	GO:0000781	GO:0000784	GO:0000975	GO:0001067	GO:0001819	GO:0003690	GO:0006302	GO:0006303	GO:0008022	GO:0019042	GO:0019043	GO:0031625	GO:0032200	GO:0032392	GO:0032479	GO:0032481	GO:0032508	GO:0032606	GO:0032993	GO:0043565	GO:0043566	GO:0044212	GO:0044389	GO:0044454	GO:0060249	GO:0071103
XRCC6	GO:0000228	GO:0000723	GO:0000726	GO:0000781	GO:0000784	GO:0000975	GO:0001067	GO:0001819	GO:0003690	GO:0005667	GO:0006266	GO:0006302	GO:0006303	GO:0008022	GO:0019042	GO:0019043	GO:0032200	GO:0032392	GO:0032479	GO:0032481	GO:0032508	GO:0032606	GO:0032993	GO:0043565	GO:0043566	GO:0044212	GO:0044454	GO:0060249	GO:0071103
YWHAH	GO:0001844	GO:0005159	GO:0007005	GO:0007006	GO:0008637	GO:0010638	GO:0010721	GO:0010769	GO:0010821	GO:0010822	GO:0022604	GO:0030518	GO:0030522	GO:0032386	GO:0035257	GO:0035258	GO:0035794	GO:0045596	GO:0046902	GO:0046982	GO:0051129	GO:0051204	GO:0051205	GO:0051427	GO:0070201	GO:0072655	GO:0090150	GO:0097193	GO:0097345	GO:1900739	GO:1900740	GO:1901028	GO:1902108	GO:1902110	GO:1902686	GO:2001233
YWHAQ	GO:0001844	GO:0007005	GO:0007006	GO:0008637	GO:0010638	GO:0010821	GO:0010822	GO:0032386	GO:0035794	GO:0046902	GO:0047485	GO:0051204	GO:0051205	GO:0070201	GO:0072655	GO:0090150	GO:0097193	GO:0097345	GO:1900739	GO:1900740	GO:1901028	GO:1902108	GO:1902110	GO:1902686	GO:2001233
ZMAT3

GO id	Description	q-value	Occurrences in Sample	Occurrences in Genome
GO:0000075	cell cycle checkpoint	3.800648812661954E-28	36	210
GO:0006302	double-strand break repair	7.866271908551125E-28	29	112
GO:0000077	DNA damage checkpoint	2.619354314495341E-24	28	133
GO:0097193	intrinsic apoptotic signaling pathway	2.619354314495341E-24	31	180
GO:0000082	G1/S transition of mitotic cell cycle	3.1432066670378343E-24	32	201
GO:0031570	DNA integrity checkpoint	6.5438999958720915E-24	28	139
GO:0007050	cell cycle arrest	1.9940480863222095E-22	30	192
GO:0010212	response to ionizing radiation	3.964564756443258E-21	21	72
GO:2001233	regulation of apoptotic signaling pathway	1.1226289994228694E-20	29	201
GO:0006260	DNA replication	1.1514687803879279E-20	30	222
GO:0000724	double-strand break repair via homologous recombination	1.1773601138363158E-20	19	55
GO:0045786	negative regulation of cell cycle	1.3791945751345674E-20	33	291
GO:0000725	recombinational repair	1.4932461016895747E-20	19	56
GO:0042770	signal transduction in response to DNA damage	2.0822009417787345E-20	24	120
GO:0009314	response to radiation	4.8780452328897326E-20	32	281
GO:0007346	regulation of mitotic cell cycle	1.223332802496212E-19	32	290
GO:0006310	DNA recombination	2.7573426869573507E-19	25	151
GO:0080135	regulation of cellular response to stress	1.1266020536939293E-17	30	286
GO:0010942	positive regulation of cell death	2.2859195119616033E-17	29	269
GO:0043065	positive regulation of apoptotic process	3.632661990664154E-17	28	250
GO:0010948	negative regulation of cell cycle process	5.642810794943549E-17	26	209
GO:0043068	positive regulation of programmed cell death	5.661590693794409E-17	28	255
GO:0097191	extrinsic apoptotic signaling pathway	1.2529926430632514E-16	22	136
GO:0071900	regulation of protein serine/threonine kinase activity	1.7859162108486273E-16	29	292
GO:1901990	regulation of mitotic cell cycle phase transition	2.263157332574874E-16	25	200
GO:1901987	regulation of cell cycle phase transition	3.1430268172167533E-16	25	203
GO:0072331	signal transduction by p53 class mediator	2.345550027104837E-15	21	137
GO:0071214	cellular response to abiotic stimulus	2.5471397240083295E-15	22	157
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	2.734712639526686E-15	16	61
GO:0051052	regulation of DNA metabolic process	3.299370177769162E-15	23	180
GO:0030330	DNA damage response, signal transduction by p53 class mediator	7.04219813110789E-15	19	109
GO:1901991	negative regulation of mitotic cell cycle phase transition	7.602980970167081E-15	22	166
GO:0007093	mitotic cell cycle checkpoint	8.586108782866663E-15	21	147
GO:1901988	negative regulation of cell cycle phase transition	9.301960491936659E-15	22	168
GO:2000116	regulation of cysteine-type endopeptidase activity	4.2166715261066584E-14	21	159
GO:0002039	p53 binding	5.4057306104220527E-14	14	48
GO:2001020	regulation of response to DNA damage stimulus	5.959693015205953E-14	18	105
GO:1901028	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	6.000915938840509E-14	13	38
GO:0046902	regulation of mitochondrial membrane permeability	6.917978998497093E-14	14	49
GO:2001236	regulation of extrinsic apoptotic signaling pathway	1.0611008544792476E-13	17	92
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	1.1164768748067485E-13	20	147
GO:0000228	nuclear chromosome	1.1997843694996636E-13	24	239
GO:0000781	chromosome, telomeric region	1.675822188685889E-13	13	41
GO:0097345	mitochondrial outer membrane permeabilization	3.333984554860887E-13	13	43
GO:0008637	apoptotic mitochondrial changes	3.625264153720363E-13	16	83
GO:0035794	positive regulation of mitochondrial membrane permeability	4.2079626389225503E-13	13	44
GO:0044773	mitotic DNA damage checkpoint	4.2079626389225503E-13	16	84
GO:1902686	mitochondrial outer membrane permeabilization involved in programmed cell death	4.2079626389225503E-13	13	44
GO:1902110	positive regulation of mitochondrial membrane permeability involved in apoptotic process	4.2079626389225503E-13	13	44
GO:0001844	protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	6.214225506363532E-13	11	26
GO:1900739	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	6.214225506363532E-13	11	26
GO:1900740	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	6.214225506363532E-13	11	26
GO:0044454	nuclear chromosome part	6.56459491458436E-13	22	209
GO:0044774	mitotic DNA integrity checkpoint	6.655918625010286E-13	16	87
GO:1902108	regulation of mitochondrial membrane permeability involved in apoptotic process	7.206645675403026E-13	13	46
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	8.630810757611551E-13	15	73
GO:0051204	protein insertion into mitochondrial membrane	9.474021995024644E-13	11	27
GO:0070201	regulation of establishment of protein localization	1.2795615727220308E-12	25	297
GO:0019901	protein kinase binding	2.058194585496078E-12	24	275
GO:0052548	regulation of endopeptidase activity	2.0623416998731894E-12	23	248
GO:0007006	mitochondrial membrane organization	2.7074856840789576E-12	14	64
GO:0010821	regulation of mitochondrion organization	2.7256932179459513E-12	15	79
GO:0090068	positive regulation of cell cycle process	2.8287750124039133E-12	20	177
GO:0071478	cellular response to radiation	3.4104431328597308E-12	16	97
GO:0052547	regulation of peptidase activity	3.4772749469210962E-12	23	255
GO:0010822	positive regulation of mitochondrion organization	4.637381832125428E-12	13	53
GO:2001056	positive regulation of cysteine-type endopeptidase activity	5.368958238026703E-12	16	100
GO:0045787	positive regulation of cell cycle	9.377564370681422E-12	15	86
GO:0038095	Fc-epsilon receptor signaling pathway	9.607799649410441E-12	19	166
GO:0010950	positive regulation of endopeptidase activity	9.607799649410441E-12	16	104
GO:0016605	PML body	9.607799649410441E-12	13	56
GO:0010638	positive regulation of organelle organization	1.0710826891085387E-11	21	216
GO:2001235	positive regulation of apoptotic signaling pathway	1.1732827822138793E-11	13	57
GO:0051205	protein insertion into membrane	1.4959357153496888E-11	11	34
GO:0010952	positive regulation of peptidase activity	1.677667386324814E-11	16	108
GO:0032386	regulation of intracellular transport	1.7538842304275424E-11	23	277
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	2.3489417329470045E-11	15	92
GO:0031638	zymogen activation	4.452583505452556E-11	15	96
GO:0044389	small conjugating protein ligase binding	5.113393220694352E-11	17	137
GO:0031625	ubiquitin protein ligase binding	5.113393220694352E-11	17	137
GO:0002768	immune response-regulating cell surface receptor signaling pathway	7.194294578359289E-11	23	297
GO:0009411	response to UV	1.0987345293923574E-10	14	84
GO:0038093	Fc receptor signaling pathway	1.2587651769618357E-10	20	219
GO:0097285	cell-type specific apoptotic process	1.383264158848989E-10	19	194
GO:0048017	inositol lipid-mediated signaling	1.9871513229765716E-10	18	173
GO:0048015	phosphatidylinositol-mediated signaling	1.9871513229765716E-10	18	173
GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	3.255217166149372E-10	14	91
GO:0004674	protein serine/threonine kinase activity	3.378242893993225E-10	22	290
GO:0031571	mitotic G1 DNA damage checkpoint	3.4257364110599287E-10	13	74
GO:2000045	regulation of G1/S transition of mitotic cell cycle	3.4257364110599287E-10	15	111
GO:0044819	mitotic G1/S transition checkpoint	3.4257364110599287E-10	13	74
GO:0044783	G1 DNA damage checkpoint	4.0384061630044044E-10	13	75
GO:0000723	telomere maintenance	4.818042916409436E-10	12	60
GO:0071479	cellular response to ionizing radiation	5.00385999423549E-10	10	34
GO:0000726	non-recombinational repair	5.00385999423549E-10	8	16
GO:0032200	telomere organization	5.754179820069025E-10	12	61
GO:0016604	nuclear body	6.737911353460542E-10	17	162
GO:0097202	activation of cysteine-type endopeptidase activity	8.98348788485895E-10	13	80
GO:0010332	response to gamma radiation	8.98348788485895E-10	8	17
GO:0070482	response to oxygen levels	9.93476193494429E-10	15	120
GO:0071156	regulation of cell cycle arrest	1.062298500245107E-9	14	100
GO:0007179	transforming growth factor beta receptor signaling pathway	2.2036828784539266E-9	16	150
GO:2001244	positive regulation of intrinsic apoptotic signaling pathway	2.3632462989205927E-9	9	28
GO:0003684	damaged DNA binding	2.3632462989205927E-9	9	28
GO:0006308	DNA catabolic process	2.5439120995538754E-9	13	87
GO:0000086	G2/M transition of mitotic cell cycle	2.575320897433374E-9	16	152
GO:0044839	cell cycle G2/M phase transition	2.575320897433374E-9	16	152
GO:0001836	release of cytochrome c from mitochondria	3.504227340906758E-9	10	41
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	5.457204389333844E-9	7	13
GO:0006303	double-strand break repair via nonhomologous end joining	5.457204389333844E-9	7	13
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	5.5228910608113954E-9	12	74
GO:0048011	neurotrophin TRK receptor signaling pathway	5.802466345309037E-9	20	274
GO:0038179	neurotrophin signaling pathway	6.999775720162267E-9	20	277
GO:0001666	response to hypoxia	7.375161977720096E-9	14	116
GO:0072655	establishment of protein localization to mitochondrion	7.390645652439204E-9	12	76
GO:0036293	response to decreased oxygen levels	9.160793198026298E-9	14	118
GO:2001242	regulation of intrinsic apoptotic signaling pathway	9.973764149538545E-9	12	78
GO:0071560	cellular response to transforming growth factor beta stimulus	1.1645181771714003E-8	16	169
GO:0071559	response to transforming growth factor beta	1.1645181771714003E-8	16	169
GO:0007005	mitochondrion organization	1.208557297264663E-8	18	225
GO:0008543	fibroblast growth factor receptor signaling pathway	1.2519712923608188E-8	16	170
GO:0006312	mitotic recombination	1.4439325467083622E-8	9	34
GO:0016049	cell growth	1.8723506901646046E-8	19	262
GO:0071158	positive regulation of cell cycle arrest	1.998807885768978E-8	12	83
GO:1902532	negative regulation of intracellular signal transduction	2.2130060518989878E-8	18	234
GO:0042176	regulation of protein catabolic process	2.8097869691257268E-8	14	129
GO:0045926	negative regulation of growth	2.8097869691257268E-8	14	129
GO:1902403	signal transduction involved in mitotic DNA integrity checkpoint	3.180688775726203E-8	11	68
GO:1902402	signal transduction involved in mitotic DNA damage checkpoint	3.180688775726203E-8	11	68
GO:0072422	signal transduction involved in DNA damage checkpoint	3.180688775726203E-8	11	68
GO:0072413	signal transduction involved in mitotic cell cycle checkpoint	3.180688775726203E-8	11	68
GO:0032869	cellular response to insulin stimulus	3.180688775726203E-8	16	182
GO:0072401	signal transduction involved in DNA integrity checkpoint	3.180688775726203E-8	11	68
GO:0007568	aging	3.180688775726203E-8	11	68
GO:0044344	cellular response to fibroblast growth factor stimulus	3.364148517454973E-8	16	183
GO:0071774	response to fibroblast growth factor	3.364148517454973E-8	16	183
GO:0072395	signal transduction involved in cell cycle checkpoint	3.665269828826083E-8	11	69
GO:0050681	androgen receptor binding	3.817298372534406E-8	9	38
GO:0014070	response to organic cyclic compound	4.156189371136918E-8	18	245
GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	4.156189371136918E-8	10	53
GO:0032868	response to insulin	4.156189371136918E-8	16	186
GO:0071496	cellular response to external stimulus	4.6321313168671946E-8	14	135
GO:0090399	replicative senescence	4.841259844993919E-8	6	10
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	5.142196910376792E-8	17	218
GO:0040008	regulation of growth	5.892332804866288E-8	19	283
GO:0060249	anatomical structure homeostasis	7.324815151930353E-8	15	166
GO:2001234	negative regulation of apoptotic signaling pathway	7.431915408361494E-8	12	94
GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	7.431915408361494E-8	9	41
GO:0007569	cell aging	8.379302875408276E-8	10	57
GO:0043566	structure-specific DNA binding	8.611879541192425E-8	14	142
GO:0008156	negative regulation of DNA replication	1.252291398647182E-7	8	30
GO:0035258	steroid hormone receptor binding	1.3930356153610717E-7	10	60
GO:0051054	positive regulation of DNA metabolic process	1.4756395482834552E-7	11	79
GO:0001558	regulation of cell growth	1.6825569705529138E-7	16	206
GO:0030522	intracellular receptor signaling pathway	1.6825569705529138E-7	16	206
GO:0051402	neuron apoptotic process	1.6825569705529138E-7	11	80
GO:0006261	DNA-dependent DNA replication	1.8300400555723564E-7	12	102
GO:0043240	Fanconi anaemia nuclear complex	1.8923520789954846E-7	6	12
GO:0032606	type I interferon production	2.0128262388024122E-7	12	103
GO:0032479	regulation of type I interferon production	2.0128262388024122E-7	12	103
GO:0090199	regulation of release of cytochrome c from mitochondria	2.0328738410206485E-7	8	32
GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	2.0328738410206485E-7	9	46
GO:0034644	cellular response to UV	2.0328738410206485E-7	8	32
GO:0038034	signal transduction in absence of ligand	2.0328738410206485E-7	9	46
GO:0008286	insulin receptor signaling pathway	2.0990369343786778E-7	14	153
GO:0034138	toll-like receptor 3 signaling pathway	2.3227785487476429E-7	11	83
GO:0071902	positive regulation of protein serine/threonine kinase activity	2.3227785487476429E-7	15	182
GO:0030308	negative regulation of cell growth	2.399437576878712E-7	12	105
GO:0071375	cellular response to peptide hormone stimulus	2.4748497993125497E-7	17	244
GO:1901653	cellular response to peptide	2.9618370886798203E-7	17	247
GO:0010165	response to X-ray	3.217104111218763E-7	6	13
GO:0048285	organelle fission	3.25229789458839E-7	18	282
GO:0006275	regulation of DNA replication	3.30067634737702E-7	11	86
GO:1902400	intracellular signal transduction involved in G1 DNA damage checkpoint	3.698076512862253E-7	10	67
GO:0072431	signal transduction involved in mitotic G1 DNA damage checkpoint	3.698076512862253E-7	10	67
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	3.698076512862253E-7	10	67
GO:0043434	response to peptide hormone	4.6055685936802277E-7	17	255
GO:0042326	negative regulation of phosphorylation	4.6538720080773207E-7	16	223
GO:0000280	nuclear division	5.122511340313644E-7	17	257
GO:0006289	nucleotide-excision repair	5.618672688731711E-7	10	70
GO:0031396	regulation of protein ubiquitination	5.994627936378953E-7	14	167
GO:1901652	response to peptide	5.997795323404558E-7	17	260
GO:0001837	epithelial to mesenchymal transition	6.37061917317975E-7	10	71
GO:0008022	protein C-terminus binding	6.936570927781871E-7	12	116
GO:0030518	intracellular steroid hormone receptor signaling pathway	7.185922580289003E-7	11	93
GO:0071453	cellular response to oxygen levels	7.208729934439512E-7	10	72
GO:0010833	telomere maintenance via telomere lengthening	7.827316723120113E-7	8	38
GO:0070997	neuron death	7.889048755261279E-7	11	94
GO:0035257	nuclear hormone receptor binding	7.889048755261279E-7	11	94
GO:0045931	positive regulation of mitotic cell cycle	7.901047863051056E-7	7	25
GO:0044212	transcription regulatory region DNA binding	8.042006846853601E-7	17	266
GO:0000975	regulatory region DNA binding	8.417227731484054E-7	17	267
GO:0001067	regulatory region nucleic acid binding	8.417227731484054E-7	17	267
GO:0032481	positive regulation of type I interferon production	9.082405270231888E-7	10	74
GO:2000379	positive regulation of reactive oxygen species metabolic process	1.0435651411016792E-6	7	26
GO:0030521	androgen receptor signaling pathway	1.0503678185052533E-6	9	56
GO:0035666	TRIF-dependent toll-like receptor signaling pathway	1.1656052891181153E-6	10	76
GO:0007184	SMAD protein import into nucleus	1.2545538358573415E-6	6	16
GO:0005160	transforming growth factor beta receptor binding	1.2545538358573415E-6	6	16
GO:0071260	cellular response to mechanical stimulus	1.3826070149096883E-6	8	41
GO:0032508	DNA duplex unwinding	1.3826070149096883E-6	8	41
GO:0018105	peptidyl-serine phosphorylation	1.4824936333327066E-6	12	125
GO:0000785	chromatin	1.5233198439094717E-6	15	212
GO:0007173	epidermal growth factor receptor signaling pathway	1.6148360017057403E-6	15	213
GO:0002756	MyD88-independent toll-like receptor signaling pathway	1.6422572439075381E-6	10	79
GO:0031572	G2 DNA damage checkpoint	1.7448298995782882E-6	7	28
GO:0033993	response to lipid	1.816239749269816E-6	16	248
GO:0051427	hormone receptor binding	1.897565965347454E-6	11	103
GO:0038127	ERBB signaling pathway	1.9015611062044908E-6	15	216
GO:0032392	DNA geometric change	1.9703934565621057E-6	8	43
GO:0034142	toll-like receptor 4 signaling pathway	2.071628363738259E-6	11	104
GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	2.3628731114360338E-6	8	44
GO:0018209	peptidyl-serine modification	2.3772630778390017E-6	12	131
GO:0019787	small conjugating protein ligase activity	2.3772630778390017E-6	15	220
GO:0051348	negative regulation of transferase activity	2.61092383936219E-6	13	160
GO:0003690	double-stranded DNA binding	2.8460588382716385E-6	10	84
GO:0010563	negative regulation of phosphorus metabolic process	3.0021347159618697E-6	16	258
GO:0045936	negative regulation of phosphate metabolic process	3.0021347159618697E-6	16	258
GO:0032469	endoplasmic reticulum calcium ion homeostasis	3.460658458831295E-6	5	10
GO:0006297	nucleotide-excision repair, DNA gap filling	3.7390168457687037E-6	6	19
GO:2001022	positive regulation of response to DNA damage stimulus	3.890497189579293E-6	8	47
GO:0051129	negative regulation of cellular component organization	3.890497189579293E-6	17	299
GO:0070613	regulation of protein processing	4.265492180001613E-6	14	198
GO:0016881	acid-amino acid ligase activity	4.335816156537331E-6	15	231
GO:0071456	cellular response to hypoxia	5.302989295521358E-6	9	68
GO:0048863	stem cell differentiation	5.473660207911643E-6	13	171
GO:0032147	activation of protein kinase activity	6.087883128791734E-6	14	204
GO:2001239	regulation of extrinsic apoptotic signaling pathway in absence of ligand	6.745013505790545E-6	7	34
GO:0036294	cellular response to decreased oxygen levels	6.745013505790545E-6	9	70
GO:0001819	positive regulation of cytokine production	6.785336457106478E-6	14	206
GO:0048610	cellular process involved in reproduction	7.175639551030085E-6	14	207
GO:0004842	ubiquitin-protein ligase activity	7.585890723657067E-6	14	208
GO:0000018	regulation of DNA recombination	8.200710944700767E-6	7	35
GO:0043523	regulation of neuron apoptotic process	8.438379856395632E-6	9	72
GO:0009416	response to light stimulus	8.438379856395632E-6	14	210
GO:0051403	stress-activated MAPK cascade	8.975100466813769E-6	13	179
GO:0031098	stress-activated protein kinase signaling cascade	9.539486552804048E-6	13	180
GO:0090305	nucleic acid phosphodiester bond hydrolysis	1.03877149647145E-5	12	151
GO:0090150	establishment of protein localization to membrane	1.336880541165042E-5	15	253
GO:0030162	regulation of proteolysis	1.3721452951650514E-5	12	155
GO:0016879	ligase activity, forming carbon-nitrogen bonds	1.3952967358461746E-5	15	254
GO:0034504	protein localization to nucleus	1.4574780548055857E-5	13	187
GO:0051053	negative regulation of DNA metabolic process	1.473460524561792E-5	8	56
GO:0035861	site of double-strand break	1.5436502775915186E-5	5	13
GO:1901214	regulation of neuron death	1.6370496183297917E-5	9	78
GO:0060389	pathway-restricted SMAD protein phosphorylation	1.710801351570222E-5	7	39
GO:0000794	condensed nuclear chromosome	2.045909431808295E-5	7	40
GO:0048545	response to steroid hormone	2.2478698206939907E-5	9	81
GO:0002224	toll-like receptor signaling pathway	2.4180849854209818E-5	11	134
GO:0002520	immune system development	2.427901040921831E-5	15	266
GO:0045596	negative regulation of cell differentiation	2.427901040921831E-5	15	266
GO:0048146	positive regulation of fibroblast proliferation	2.5749481648798834E-5	6	26
GO:0071103	DNA conformation change	2.5749481648798834E-5	11	135
GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator	2.5749481648798834E-5	6	26
GO:0007126	meiotic nuclear division	2.9972442469201385E-5	9	84
GO:0030155	regulation of cell adhesion	3.167452743191372E-5	13	201
GO:0048145	regulation of fibroblast proliferation	3.303794723496243E-5	7	43
GO:0050431	transforming growth factor beta binding	3.332156529482631E-5	5	15
GO:0032461	positive regulation of protein oligomerization	3.332156529482631E-5	5	15
GO:0010717	regulation of epithelial to mesenchymal transition	3.8323144209272886E-5	7	44
GO:0048144	fibroblast proliferation	3.8323144209272886E-5	7	44
GO:0051321	meiotic cell cycle	3.948982761947914E-5	9	87
GO:0006913	nucleocytoplasmic transport	4.0659432372611874E-5	15	278
GO:0051169	nuclear transport	4.6400578356375917E-5	15	281
GO:0009612	response to mechanical stimulus	4.947718348212255E-5	8	66
GO:0071482	cellular response to light stimulus	4.947718348212255E-5	8	66
GO:0005126	cytokine receptor binding	5.719405222213221E-5	11	147
GO:0003713	transcription coactivator activity	5.889212966117021E-5	14	249
GO:0045732	positive regulation of protein catabolic process	6.177872069134062E-5	8	68
GO:0042113	B cell activation	6.256339592773426E-5	10	119
GO:0033673	negative regulation of kinase activity	6.422757765495002E-5	11	149
GO:0046777	protein autophosphorylation	6.422757765495002E-5	11	149
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	7.268616429164168E-5	6	31
GO:0071824	protein-DNA complex subunit organization	7.268616429164168E-5	9	94
GO:0050865	regulation of cell activation	7.268616429164168E-5	14	254
GO:0019207	kinase regulator activity	7.268616429164168E-5	9	94
GO:0001952	regulation of cell-matrix adhesion	7.63901768071752E-5	7	49
GO:2000377	regulation of reactive oxygen species metabolic process	7.63901768071752E-5	7	49
GO:0046332	SMAD binding	7.63901768071752E-5	7	49
GO:0002020	protease binding	7.63901768071752E-5	7	49
GO:1901796	regulation of signal transduction by p53 class mediator	8.664788233396377E-5	6	32
GO:0000737	DNA catabolic process, endonucleolytic	8.736860003209729E-5	7	50
GO:0002221	pattern recognition receptor signaling pathway	9.127556021471284E-5	11	155
GO:0001933	negative regulation of protein phosphorylation	9.752208392730326E-5	12	189
GO:0006282	regulation of DNA repair	9.926245194302256E-5	7	51
GO:0002758	innate immune response-activating signal transduction	1.0248511168336365E-4	11	157
GO:0051098	regulation of binding	1.0708924715459339E-4	10	127
GO:0006606	protein import into nucleus	1.0795933398181947E-4	11	158
GO:1902593	single-organism nuclear import	1.0795933398181947E-4	11	158
GO:0001085	RNA polymerase II transcription factor binding	1.1034878024584213E-4	8	74
GO:0031349	positive regulation of defense response	1.156593484489695E-4	13	228
GO:0006611	protein export from nucleus	1.2106189582695881E-4	6	34
GO:0006271	DNA strand elongation involved in DNA replication	1.2106189582695881E-4	6	34
